Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,ObjectId,x,y
1795577,2020-09-15T04:00:00Z,Ohio,Toledo,1700 block of Wyndhurst Rd,0,1,0,0,0,N/A,1121,-83.6031582095806,41.6572368228382
1792604,2020-09-11T04:00:00Z,Ohio,Toledo,2600 block of Calverton Rd,1,0,0,0,1,N/A,1122,-83.6056422202245,41.6605417943147
1790614,2020-09-09T04:00:00Z,Ohio,Toledo,800 block of Moore St,0,1,0,0,0,N/A,1123,-83.5384460693375,41.6685538593131
1788685,2020-09-07T04:00:00Z,Ohio,Toledo,537 Ogden Ave,0,1,0,0,0,N/A,1124,-83.5834503193956,41.6295887260375
1784905,2020-09-02T04:00:00Z,Ohio,Toledo,832 Brown Ave,1,1,0,0,0,N/A,1125,-83.5868746613261,41.649053013437
1781334,2020-08-31T04:00:00Z,Ohio,Toledo,2200 block of Walnut  St,0,1,0,0,0,N/A,1126,-83.5401672423202,41.6691047655932
1783714,2020-08-30T04:00:00Z,Ohio,Toledo,600 block of Norwood Ave,0,1,0,0,0,N/A,1127,-83.5592788595657,41.6557054639098
1783707,2020-08-29T04:00:00Z,Ohio,Toledo,1100 block of Dorr St,0,1,0,0,0,N/A,1128,-83.5709597870541,41.6530150204747
1778564,2020-08-29T04:00:00Z,Ohio,Toledo,1200 block of Upton Ave,0,0,1,1,1,N/A,1129,-83.5882292713672,41.6529472682028
1778143,2020-08-28T04:00:00Z,Ohio,Toledo,N Detroit Ave and Palmwood Ave,0,1,0,0,0,N/A,1130,-83.5772659828065,41.6537599974489
1784991,2020-08-28T04:00:00Z,Ohio,Toledo,1200 block of Upton Ave,0,0,1,1,0,N/A,1131,-83.5882292713672,41.6529472682028
1776325,2020-08-26T04:00:00Z,Ohio,Toledo,800 block of  Walnut St,0,1,0,0,0,N/A,1132,-83.5325069243119,41.6600292499034
1776320,2020-08-25T04:00:00Z,Ohio,Toledo,E Oakland St and Otto St,0,1,0,0,0,N/A,1133,-83.5279130019327,41.6825439977696
1776342,2020-08-24T04:00:00Z,Ohio,Toledo,2140 Timbercreek Dr,0,1,0,0,0,N/A,1134,-83.6505565067018,41.6621957542996
1774599,2020-08-24T04:00:00Z,Ohio,Toledo,200 block of Columbia St,0,1,0,0,0,N/A,1135,-83.549740590998,41.6653545751256
1774242,2020-08-23T04:00:00Z,Ohio,Toledo,1500 block of Eleanor Ave,1,0,1,0,0,N/A,1136,-83.5808765490886,41.6996047418196
1769420,2020-08-18T04:00:00Z,Ohio,Toledo,3100 block of N Detroit Ave,0,1,0,0,0,N/A,1137,-83.5614930019251,41.6784059987909
1768477,2020-08-18T04:00:00Z,Ohio,Toledo,1100 block of Belmont Ave,1,0,0,0,1,N/A,1138,-83.571713942498,41.6482375464911
1766938,2020-08-16T04:00:00Z,Ohio,Toledo,600 block of Pinewood Ave,1,0,0,0,0,N/A,1139,-83.5593930309467,41.651143839244
1768521,2020-08-16T04:00:00Z,Ohio,Toledo,Delaware Ave and Trenton Ave,0,1,0,0,0,N/A,1140,-83.5779460074765,41.6707470137117
1765936,2020-08-15T04:00:00Z,Ohio,Toledo,1000 block of Steeplebush Dr,1,0,0,0,0,N/A,1141,-83.6535445602549,41.6222233724403
1768512,2020-08-15T04:00:00Z,Ohio,Toledo,Thayer St and Prouty Ave,0,1,0,0,0,N/A,1142,-83.562549038017,41.6288129806648
1768508,2020-08-15T04:00:00Z,Ohio,Toledo,1700 block of Evansdale Ave,0,1,0,0,0,N/A,1143,-83.6002048166244,41.6566928079106
1768498,2020-08-14T04:00:00Z,Ohio,Toledo,500 block of Platt St,0,1,0,0,0,N/A,1144,-83.5187194843132,41.6455529951436
1768491,2020-08-14T04:00:00Z,Ohio,Toledo,601 Fassett St,0,1,0,0,0,N/A,1145,-83.5200759224259,41.6292766257527
1763970,2020-08-13T04:00:00Z,Ohio,Toledo,Brown Ave and Pinewood Ave,1,0,0,0,1,N/A,1146,-83.5855039687464,41.6512059893542
1764199,2020-08-13T04:00:00Z,Ohio,Toledo,3400 block of Worley Pl,0,1,0,0,0,N/A,1147,-83.5298000910534,41.6859293948242
1762488,2020-08-11T04:00:00Z,Ohio,Toledo,200 block of S McKenzie St,0,3,0,0,0,N/A,1148,-83.5357170000808,41.6552979996861
1761424,2020-08-10T04:00:00Z,Ohio,Toledo,500 block of Valleywood Dr,0,0,0,0,0,N/A,1149,-83.5085973745912,41.6407284577527
1761421,2020-08-10T04:00:00Z,Ohio,Toledo,590 block of Leach Ave,0,0,0,0,0,N/A,1150,-83.5204301452104,41.6315734007003
1990707,2021-04-27T04:00:00Z,Ohio,Toledo,3415 Monroe St,1,0,0,0,0,N/A,1151,-83.5802053494678,41.6689594050419
1986822,2021-04-25T04:00:00Z,Ohio,Toledo,2200 block of Auburn Ave,0,1,0,0,1,N/A,1152,-83.5790515542152,41.6650474610455
1986817,2021-04-25T04:00:00Z,Ohio,Toledo,Scottwood Ave and Monroe St,0,1,0,0,0,N/A,1153,-83.5591615755222,41.6592299017917
1984585,2021-04-22T04:00:00Z,Ohio,Toledo,4300 block of Asbury Dr,0,1,0,0,0,N/A,1154,-83.5614897185828,41.6981690617358
1983818,2021-04-20T04:00:00Z,Ohio,Toledo,N Ontario St and Magnolia St,0,1,0,0,0,N/A,1155,-83.5230100078917,41.6636700050849
1979787,2021-04-16T04:00:00Z,Ohio,Toledo,3500 block of Upton Ave,2,0,0,0,0,N/A,1156,-83.5893142152449,41.6850478389514
1978920,2021-04-15T04:00:00Z,Ohio,Toledo,2000 block of Nevada St,0,0,0,1,1,N/A,1157,-83.5009954848057,41.6401238633072
1978914,2021-04-14T04:00:00Z,Ohio,Toledo,1000 block of E 5th St,0,1,0,0,1,N/A,1158,-83.5221047567153,41.6441519979912
1972679,2021-04-07T04:00:00Z,Ohio,Toledo,3338 W Alexis Rd,1,0,0,0,0,N/A,1159,-83.6256443167498,41.7210073776076
1970627,2021-04-05T04:00:00Z,Ohio,Toledo,2200 block of Auburn Ave,0,1,0,0,0,N/A,1160,-83.5790515542152,41.6650474610455
